date,home_team,away_team,score,xg_home,xg_away,attendance,venue,match_report_url
2024-09-14,Racing Sant,Sporting Gijón,1–0,,,20846,Campos de Sport de El Sardinero,
2024-09-14,Málaga,Huesca,1–0,,,26672,Estadio La Rosaleda,
2024-09-15,CD Mirandés,Albacete,2–0,,,2713,Estadio Municipal de Anduva,
2024-09-15,Oviedo,Cartagena,1–0,,,19492,Estadio Nuevo Carlos Tartiere,
2024-09-15,Burgos,Zaragoza,1–0,,,10150,Estadio Municipal de El Plantío,
2024-09-15,Cádiz,Racing Ferrol,0–0,,,16868,Estadio Nuevo Mirandilla,
2024-09-15,Elche,Granada,2–2,,,15455,Estadio Manuel Martínez Valero,
2024-09-16,Almería,Castellón,2–5,,,11952,UD Almería Stadium,
2024-09-20,Granada,Málaga,2–2,,,18827,Estadio Nuevo Los Cármenes,
2024-09-21,Racing Ferrol,Albacete,1–4,,,6680,Estadio Municipal de A Malata,
2024-09-21,Dep La Coruña,Burgos,0–2,,,22593,Estadio Abanca-Riazor,
2024-09-21,Eldense,Oviedo,1–1,,,3987,Estadio Municipal Nuevo Pepico Amat,
2024-09-21,Zaragoza,Levante,2–1,,,17241,Estadio de la Romareda,
2024-09-22,Tenerife,Sporting Gijón,1–1,,,15531,Estadio Heliodoro Rodríguez Lopéz,
2024-09-22,Cartagena,Cádiz,1–2,,,7771,Estadio Municipal Cartagonova,
2024-09-22,Castellón,Racing Sant,0–1,,,12022,Estadio SkyFi Castalia,
2024-09-22,Elche,CD Mirandés,1–0,,,16276,Estadio Manuel Martínez Valero,
2024-09-22,Almería,Eibar,2–2,,,10811,UD Almería Stadium,
2024-09-23,Huesca,Córdoba,4–1,,,5899,Estadio El Alcoraz,
2024-09-27,Albacete,Dep La Coruña,2–5,,,11509,Estadio Carlos Belmonte,
2024-09-28,CD Mirandés,Huesca,1–0,,,3193,Estadio Municipal de Anduva,
2024-09-28,Cádiz,Eldense,1–2,,,15315,Estadio Nuevo Mirandilla,
2024-09-28,Sporting Gijón,Zaragoza,1–0,,,22426,Estadio Municipal El Molinón,
2024-09-28,Málaga,Elche,0–3,,,26377,Estadio La Rosaleda,
2024-09-29,Levante,Almería,4–2,,,14528,Estadio Ciudad de Valencia,
2024-09-29,Castellón,Tenerife,2–1,,,11439,Estadio SkyFi Castalia,
2024-09-29,Burgos,Granada,2–2,,,9890,Estadio Municipal de El Plantío,
2024-09-29,Córdoba,Racing Ferrol,3–1,,,16130,Estadio Nuevo Arcángel,
2024-09-29,Oviedo,Eibar,1–0,,,19281,Estadio Nuevo Carlos Tartiere,
2024-09-30,Racing Sant,Cartagena,1–2,,,16083,Campos de Sport de El Sardinero,
2024-10-04,Huesca,Cádiz,3–1,,,5949,Estadio El Alcoraz,
2024-10-05,Racing Ferrol,Elche,1–0,,,5489,Estadio Municipal de A Malata,
2024-10-05,Eibar,Sporting Gijón,1–3,,,5960,Estadio Municipal de Ipurúa,
2024-10-05,CD Mirandés,Granada,0–1,,,3016,Estadio Municipal de Anduva,
2024-10-05,Zaragoza,Racing Sant,2–3,,,21341,Estadio de la Romareda,
2024-10-05,Almería,Burgos,2–0,,,10391,UD Almería Stadium,
2024-10-05,Tenerife,Cartagena,2–0,,,13590,Estadio Heliodoro Rodríguez Lopéz,
2024-10-06,Dep La Coruña,Málaga,0–0,,,21346,Estadio Abanca-Riazor,
2024-10-06,Eldense,Castellón,2–3,,,5167,Estadio Municipal Nuevo Pepico Amat,
2024-10-06,Levante,Oviedo,0–0,,,15406,Estadio Ciudad de Valencia,
2024-10-06,Albacete,Córdoba,1–1,,,9327,Estadio Carlos Belmonte,
2024-10-11,Tenerife,Zaragoza,2–3,,,15155,Estadio Heliodoro Rodríguez Lopéz,
2024-10-12,Cartagena,Racing Ferrol,0–1,,,6223,Estadio Municipal Cartagonova,
2024-10-12,Eibar,Eldense,1–0,,,5097,Estadio Municipal de Ipurúa,
2024-10-12,Cádiz,Málaga,2–2,,,11507,Estadio Nuevo Mirandilla,
2024-10-13,Huesca,Albacete,2–2,,,5722,Estadio El Alcoraz,
2024-10-13,Oviedo,Almería,3–2,,,19426,Estadio Nuevo Carlos Tartiere,
2024-10-13,Racing Sant,Levante,1–0,,,20680,Campos de Sport de El Sardinero,
2024-10-13,Granada,Córdoba,1–0,,,18036,Estadio Nuevo Los Cármenes,
2024-10-13,Burgos,CD Mirandés,0–1,,,11300,Estadio Municipal de El Plantío,
2024-10-13,Elche,Dep La Coruña,0–0,,,15810,Estadio Manuel Martínez Valero,
2024-10-14,Sporting Gijón,Castellón,2–1,,,19940,Estadio Municipal El Molinón,
2024-10-18,Córdoba,Cartagena,2–1,,,15636,Estadio Nuevo Arcángel,
2024-10-19,Dep La Coruña,Eldense,1–1,,,20000,Estadio Abanca-Riazor,
2024-10-19,Málaga,Oviedo,0–0,,,26074,Estadio La Rosaleda,
2024-10-19,Granada,Tenerife,4–0,,,16582,Estadio Nuevo Los Cármenes,
2024-10-19,Castellón,Levante,2–0,,,12905,Estadio SkyFi Castalia,
2024-10-19,CD Mirandés,Eibar,1–0,,,3770,Estadio Municipal de Anduva,
2024-10-20,Cádiz,Racing Sant,0–1,,,15545,Estadio Nuevo Mirandilla,
2024-10-20,Racing Ferrol,Huesca,0–0,,,6732,Estadio Municipal de A Malata,
2024-10-20,Elche,Sporting Gijón,2–1,,,17421,Estadio Manuel Martínez Valero,
2024-10-20,Zaragoza,Almería,1–2,,,20814,Estadio de la Romareda,
2024-10-21,Albacete,Burgos,2–0,,,9041,Estadio Carlos Belmonte,
2024-10-22,Oviedo,CD Mirandés,4–1,,,16275,Estadio Nuevo Carlos Tartiere,
2024-10-22,Castellón,Granada,2–3,,,9431,Estadio SkyFi Castalia,
2024-10-23,Eldense,Zaragoza,2–3,,,4158,Estadio Municipal Nuevo Pepico Amat,
2024-10-23,Eibar,Cádiz,1–0,,,5100,Estadio Municipal de Ipurúa,
2024-10-23,Racing Sant,Córdoba,2–0,,,16036,Campos de Sport de El Sardinero,
2024-10-23,Cartagena,Elche,0–0,,,5637,Estadio Municipal Cartagonova,
2024-10-24,Almería,Albacete,3–1,,,10808,UD Almería Stadium,
2024-10-24,Levante,Dep La Coruña,2–1,,,13562,Estadio Ciudad de Valencia,
2024-10-24,Tenerife,Málaga,0–0,,,13237,Estadio Heliodoro Rodríguez Lopéz,
2024-10-24,Sporting Gijón,Huesca,2–1,,,18690,Estadio Municipal El Molinón,
2024-10-24,Burgos,Racing Ferrol,1–1,,,8053,Estadio Municipal de El Plantío,
2024-10-26,CD Mirandés,Cartagena,3–1,,,2700,Estadio Municipal de Anduva,
2024-10-26,Cádiz,Oviedo,2–0,,,14,Estadio Nuevo Mirandilla,
2024-10-26,Zaragoza,Castellón,1–2,,,20017,Estadio de la Romareda,
2024-10-26,Córdoba,Eldense,2–0,,,13453,Estadio Nuevo Arcángel,
2024-10-27,Málaga,Eibar,1–0,,,24008,Estadio La Rosaleda,
2024-10-27,Dep La Coruña,Racing Sant,1–2,,,22798,Estadio Abanca-Riazor,
2024-10-27,Elche,Burgos,1–0,,,9708,Estadio Manuel Martínez Valero,
2024-10-27,Huesca,Almería,2–2,,,5223,Estadio El Alcoraz,
2024-10-27,Albacete,Sporting Gijón,3–3,,,7305,Estadio Carlos Belmonte,
2024-10-27,Granada,Levante,1–2,,,12871,Estadio Nuevo Los Cármenes,
2024-10-28,Racing Ferrol,Tenerife,1–1,,,6001,Estadio Municipal de A Malata,
2024-11-02,Eibar,Elche,0–2,,,4388,Estadio Municipal de Ipurúa,
2024-11-02,Sporting Gijón,Cádiz,2–0,,,22250,Estadio Municipal El Molinón,
2024-11-02,Cartagena,Dep La Coruña,1–5,,,6862,Estadio Municipal Cartagonova,
2024-11-02,Racing Sant,Albacete,1–1,,,20794,Campos de Sport de El Sardinero,
2024-11-02,Zaragoza,Granada,2–1,,,17642,Estadio de la Romareda,
2024-11-03,Oviedo,Burgos,3–1,,,19380,Estadio Nuevo Carlos Tartiere,
2024-11-03,Tenerife,CD Mirandés,1–0,,,14897,Estadio Heliodoro Rodríguez Lopéz,
2024-11-08,Elche,Almería,1–2,,,20689,Estadio Manuel Martínez Valero,
2024-11-09,CD Mirandés,Cádiz,2–2,,,3241,Estadio Municipal de Anduva,
